timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1.567E+12,47,Open_index_page_130 /jsonrpc,200,OK,setUp Thread Group 1-1,text,TRUE,,569,507,5,5,https://id.rambler.ru/jsonrpc,47,0,41
1.567E+12,39,Open_index_page_130 /jsonrpc,200,OK,setUp Thread Group 1-2,text,TRUE,,569,507,5,5,https://id.rambler.ru/jsonrpc,39,0,32
1.567E+12,51,Open_index_page_130 /jsonrpc,200,OK,setUp Thread Group 1-3,text,TRUE,,587,507,5,5,https://id.rambler.ru/jsonrpc,50,0,31
1.567E+12,48,Open_index_page_130 /jsonrpc,200,OK,setUp Thread Group 1-4,text,TRUE,,569,507,5,5,https://id.rambler.ru/jsonrpc,47,0,27
1.567E+12,29,Open_index_page_130 /jsonrpc,200,OK,setUp Thread Group 1-5,text,TRUE,,587,507,5,5,https://id.rambler.ru/jsonrpc,28,0,22
1.567E+12,27,Open_index_page_128 /rhead/359fd3e6a9d1a2275a6f306797a5181f,200,OK,setUp Thread Group 1-1,bin,TRUE,,3480,581,5,5,https://store.rambler.ru/rhead/359fd3e6a9d1a2275a6f306797a5181f?img-format=webp%3Aquality%3A90&img-1-resize=width%3A125%2Cheight%3A80%2Cfit%3Acover&img-2-filter=sharpen,27,0,18
1.567E+12,28,Open_index_page_128 /rhead/359fd3e6a9d1a2275a6f306797a5181f,200,OK,setUp Thread Group 1-2,bin,TRUE,,3467,581,5,5,https://store.rambler.ru/rhead/359fd3e6a9d1a2275a6f306797a5181f?img-format=webp%3Aquality%3A90&img-1-resize=width%3A125%2Cheight%3A80%2Cfit%3Acover&img-2-filter=sharpen,28,0,20
1.567E+12,29,Open_index_page_128 /rhead/359fd3e6a9d1a2275a6f306797a5181f,200,OK,setUp Thread Group 1-4,bin,TRUE,,3467,581,5,5,https://store.rambler.ru/rhead/359fd3e6a9d1a2275a6f306797a5181f?img-format=webp%3Aquality%3A90&img-1-resize=width%3A125%2Cheight%3A80%2Cfit%3Acover&img-2-filter=sharpen,28,0,20
1.567E+12,24,Open_index_page_128 /rhead/359fd3e6a9d1a2275a6f306797a5181f,200,OK,setUp Thread Group 1-3,bin,TRUE,,3480,581,5,5,https://store.rambler.ru/rhead/359fd3e6a9d1a2275a6f306797a5181f?img-format=webp%3Aquality%3A90&img-1-resize=width%3A125%2Cheight%3A80%2Cfit%3Acover&img-2-filter=sharpen,23,0,16
1.567E+12,34,Open_index_page_128 /rhead/359fd3e6a9d1a2275a6f306797a5181f,200,OK,setUp Thread Group 1-5,bin,TRUE,,3480,581,5,5,https://store.rambler.ru/rhead/359fd3e6a9d1a2275a6f306797a5181f?img-format=webp%3Aquality%3A90&img-1-resize=width%3A125%2Cheight%3A80%2Cfit%3Acover&img-2-filter=sharpen,33,0,26
1.567E+12,26,Open_index_page_129 /rhead/41d0583c447e5a433f97900fd6818e8d,200,OK,setUp Thread Group 1-1,bin,TRUE,,5645,581,5,5,https://store.rambler.ru/rhead/41d0583c447e5a433f97900fd6818e8d?img-format=webp%3Aquality%3A90&img-1-resize=width%3A125%2Cheight%3A80%2Cfit%3Acover&img-2-filter=sharpen,26,0,16
1.567E+12,29,Open_index_page_129 /rhead/41d0583c447e5a433f97900fd6818e8d,200,OK,setUp Thread Group 1-3,bin,TRUE,,5642,581,5,5,https://store.rambler.ru/rhead/41d0583c447e5a433f97900fd6818e8d?img-format=webp%3Aquality%3A90&img-1-resize=width%3A125%2Cheight%3A80%2Cfit%3Acover&img-2-filter=sharpen,29,0,20
1.567E+12,39,Open_index_page_129 /rhead/41d0583c447e5a433f97900fd6818e8d,200,OK,setUp Thread Group 1-2,bin,TRUE,,5644,581,5,5,https://store.rambler.ru/rhead/41d0583c447e5a433f97900fd6818e8d?img-format=webp%3Aquality%3A90&img-1-resize=width%3A125%2Cheight%3A80%2Cfit%3Acover&img-2-filter=sharpen,39,0,21
